code_file,name_length_offset,name_offset,symbol_flags,mangled_name
CODE_01_Visos (Mac Specific).bin,0x00003CBE,0x00003CBF,0x80,__ct__8CAnimWndFv
CODE_01_Visos (Mac Specific).bin,0x00003D4C,0x00003D4D,0x80,__dt__8CAnimWndFv
CODE_01_Visos (Mac Specific).bin,0x00003DCF,0x00003DD0,0x00,Create__8CAnimWndFRC7CVSRectP6CPVWndPc
CODE_01_Visos (Mac Specific).bin,0x00003E32,0x00003E33,0x80,_OnCreate__8CAnimWndFv
CODE_01_Visos (Mac Specific).bin,0x00003F3A,0x00003F3B,0x80,Pansy__8CAnimWndFv
CODE_01_Visos (Mac Specific).bin,0x00003FC0,0x00003FC1,0x80,_OnMove__8CAnimWndFv
CODE_01_Visos (Mac Specific).bin,0x000040BA,0x000040BB,0x80,KillPansy__8CAnimWndFv
CODE_01_Visos (Mac Specific).bin,0x00004114,0x00004115,0x80,_OnDestroy__8CAnimWndFv
CODE_01_Visos (Mac Specific).bin,0x00004136,0x00004137,0x80,Refresh__8CAnimWndFv
CODE_01_Visos (Mac Specific).bin,0x000044FE,0x000044FF,0x80,SetAnim__8CAnimWndFUl
CODE_01_Visos (Mac Specific).bin,0x0000459C,0x0000459D,0x80,SetMovieWindow__8CAnimWndFv
CODE_01_Visos (Mac Specific).bin,0x000045EE,0x000045EF,0x80,FreeMovieWindow__8CAnimWndFv
CODE_01_Visos (Mac Specific).bin,0x00004666,0x00004667,0x80,Process__8CAnimWndFv
CODE_01_Visos (Mac Specific).bin,0x00004686,0x00004687,0x80,OnStop__8CAnimWndFv
CODE_01_Visos (Mac Specific).bin,0x000046C4,0x000046C5,0x80,Play__8CAnimWndFv
CODE_01_Visos (Mac Specific).bin,0x00004702,0x00004703,0x80,Stop__8CAnimWndFv
CODE_01_Visos (Mac Specific).bin,0x0000473C,0x0000473D,0x80,Resume__8CAnimWndFv
CODE_01_Visos (Mac Specific).bin,0x0000476A,0x0000476B,0x80,_OnSize__8CAnimWndFv
CODE_01_Visos (Mac Specific).bin,0x0000478A,0x0000478B,0x80,OnSkip__8CAnimWndFi
CODE_01_Visos (Mac Specific).bin,0x000047A8,0x000047A9,0x80,OnFrame__8CAnimWndFi
CODE_01_Visos (Mac Specific).bin,0x000047C8,0x000047C9,0x80,OnStart__8CAnimWndFv
